file_name,entropy_of_text,macro_chr_count,macro_vocab_size,macro_arithmetic_operator_count,macro_token_count,macro_max_line_length,remote_template_present,numeric_cell_count,string_cell_count,avg_cell_length,label
benign_sample_3253.xlsx,5.746067900571417,39,10079,4759,10079,38,1,4336,8926,11.18458754335696,0
benign_sample_5685.xlsx,5.74995621855602,287,19789,28783,19789,42,1,27138,54355,11.16781809480569,0
benign_sample_8732.xlsx,5.745469916191109,122,16084,12754,16084,38,1,12033,23997,11.13219539272828,0
benign_sample_5743.xlsx,5.743675261971315,152,17382,16244,17382,39,1,15217,30554,11.10467326473094,0
benign_sample_5522.xlsx,5.748130420597545,106,15452,11529,15452,38,1,10837,21622,11.15197633938199,0
benign_sample_3341.xlsx,5.746568159157901,125,15291,10995,15291,40,1,10369,20827,11.12626618797282,0
benign_sample_9577.xlsx,5.75526030549479,90,14140,9076,14140,36,1,8657,17293,11.18400770712909,0
benign_sample_4203.xlsx,5.780659767071461,8,4063,1103,4063,34,1,1095,2224,11.31907200964146,0
benign_sample_3364.xlsx,5.75057600311107,181,18116,19010,18116,40,1,17782,35904,11.17488730767798,0
benign_sample_9440.xlsx,5.748924320582551,112,15695,12119,15695,41,1,11180,22553,11.14709631518098,0
benign_sample_7751.xlsx,5.748886609901391,98,15637,11888,15637,36,1,11082,22224,11.1773254068336,0
benign_sample_2488.xlsx,5.750101119853549,246,19359,25595,19359,43,1,24336,48143,11.18374977579713,0
benign_sample_4273.xlsx,5.747110831600135,96,14699,9831,14699,37,1,9531,18848,11.07294125938194,0
benign_sample_4654.xlsx,5.767709564344985,5,1937,473,1937,33,1,447,908,11.19557195571956,0
benign_sample_7000.xlsx,5.755562890582979,121,16028,12538,16028,39,1,11800,24010,11.2154705389556,0
benign_sample_3034.xlsx,5.760542801710389,53,10963,5258,10963,40,1,5040,10201,11.23476149858933,0
benign_sample_9583.xlsx,5.75111940982371,137,16759,14516,16759,39,1,13489,27353,11.16784192742765,0
benign_sample_931.xlsx,5.75158221376491,130,17596,16967,17596,39,1,15771,31981,11.16395124811526,0
benign_sample_2052.xlsx,5.751100686714658,23,6231,2239,6231,33,1,2010,4098,11.1535690897184,0
benign_sample_1160.xlsx,5.771221364637694,19,7081,2476,7081,39,1,2461,4780,11.11669658886894,0
benign_sample_895.xlsx,5.757268586362091,128,16815,14496,16815,38,1,13930,27682,11.11275593578775,0
benign_sample_7250.xlsx,5.754978648472454,9,3390,1041,3390,33,1,870,1855,11.17798165137615,0
benign_sample_5641.xlsx,5.750665432511876,411,20681,42468,20681,41,1,40108,80407,11.16201302742397,0
benign_sample_486.xlsx,5.748307504072128,209,19013,23240,19013,42,1,21807,43757,11.14837410774205,0
