sender_ip,urls,suspicious_words,label
193.120.211.219,"['http://ter.netblah.com:27000', 'http://ter.netblah.com:27000', 'http://ter.netblah.com:27000']",['click'],1
213.41.78.25,"['http://61.145.116.186/user0201/index.asp?Afft=QM10', 'http://61.145.116.186/light/watch.asp']",[],1
193.120.211.219,"['http-equiv=""Content-Type""', 'http://www.jeweldive.com:81/sle/adult/index.html""><img', 'http://www.jeweldive.com:81/sle/adult/graphic.gif""', 'http://www.jeweldive.com:81/sles/penis/index.html""><font', 'http://www.jeweldive.com:81/removal/"">Click']",['click'],1
193.120.211.219,"['http://ww1.bestoffersonthenet.com/termlifequote/', 'http://ww1.bestoffersonthenet.com/stopthemailplease/']",[],1
193.120.211.219,"['http://marketing-fashion.com/user0201/index.asp?Afft=QM3', 'http://marketing-fashion.com/light/watch.asp']",[],1
193.120.211.219,[],[],1
193.120.211.219,['http://www.webtransit.net/remove.html'],['bank'],1
193.120.211.219,[],[],1
80.35.221.210,[],[],1
208.230.129.2,"['http://www.WebDesignHQ.com', 'http://www.webdesignhq.com', 'http://www.webdesignhq.com/omnivore/vlist/vlist.php?action=out&address=Users@iiu.taint.org']",['click'],1
216.27.147.130,"['http-equiv=Content-Type', 'http://www.myhomeontheweb.com/cust/open.html""></A></BODY></HTML>']",[],1
65.217.159.66,"['http://www.fairlane-annuity.com/>', 'http://www.Insuranceiq.com/optout', 'http://www.Insuranceiq.com/optout/>', 'http://www.insuranceiq.com/legal.htm>']",[],1
,[],[],1
193.120.211.219,"['http://www.irnman.net/debt/"">click', 'http://www.irnman.net/debt/rem.htm"">click']",['click'],1
193.120.211.219,"['http://202.101.163.34:81/li/wangxd/', 'http://64.123.160.91:81/li/gg/unsubscriber.asp?userid=zzzz@netcomuk.co.uk']",['click'],1
193.120.211.219,[],[],1
193.120.211.219,"['http-equiv=""Content-Language""', 'http-equiv=""Content-Type""', 'http://www.yourinkjet.com/""', 'http://www.yourinkjet.com/remove.asp""']","['verify', 'click']",1
193.80.119.139,"['http://sam.hostcentrel.com/norton/\'))"">', 'http://sam.hostcentrel.com/norton/""><FONT']",['click'],1
193.120.211.219,"['http://www.carikawan.com/', 'http://www.ezernet.com/b2b-domain.cgi?id=62898&dname=zzzzason.org', 'http://www.ezernet.com/b2b-remove.cgi?id=62898&dname=zzzzason.org']",['click'],1
193.120.211.219,"['http://www.zthefuture.com/advanced', 'http://www.thaiworkathome.com/advanced', 'http://www.thaiworkathome.com/unsubscribe.php']",['click'],1
211.57.209.146,"['http://offersrus.net/sv-7-23-02/list_signup2.htm""><img', 'http://offersrus.net/sv-7-23-02/attention.gif""', 'http://offersrus.net/sv-7-23-02/list_signup2.htm""><img', 'http://offersrus.net/sv-7-23-02/free_email.gif""', 'http://offersrus.net/sv-7-23-02/list_signup.htm""', 'http://offersrus.net/sv-7-23-02/list_signup2.htm""><span', 'http://offersrus.net/newsletter/signup/space.gif""', 'http://offersrus.net/sv-7-23-02/list_signup2.htm""><img', 'http://offersrus.net/sv-7-23-02/large.gif""', 'http://offersrus.net/sv-7-23-02/bullet.gif""', 'http://offersrus.net/sv-7-23-02/bullet.gif""', 'http://offersrus.net/sv-7-23-02/bullet.gif""', 'http://offersrus.net/sv-7-23-02/bullet.gif""', 'http://offersrus.net/ad_mail_mega/reach_the_masses.htm""><img', 'http://offersrus.net/images/mailed_by_.gif""', 'http://offersrus.net/sv-7-23-02/unsubscribe.htm"">REMOVE']","['bank', 'click']",1
194.125.145.45,['http://www.linux.ie/mailman/listinfo/ilug'],[],1
61.179.116.50,[],[],1
217.106.153.171,[],[],1
193.120.211.219,"['http://admanmail.com/ads/adman/silvercarrot/images/liz-c_top.jpg""', 'http://theadmanager.com/server/c.asp?ad_key=SVHLKJYHSAFO&ext=1"">Click', 'http://theadmanager.com/server/c.asp?ad_key=SVHLKJYHSAFO&ext=1"">click', 'http://theadmanager.com/server/c.asp?ad_key=SVHLKJYHSAFO&ext=1"">click', 'http://admanmail.com/ads/adman/silvercarrot/images/shanon-jones_trans.gif""', 'http://admanmail.com/ads/adman/silvercarrot/images/liz-c_right.jpg""></td>', 'http://admanmail.com/ads/adman/silvercarrot/images/dollar.jpg""', 'http://admanmail.com/server/t.asp?ad_key=SVHLKJYHSAFO""', 'http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO"">', 'http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO)']",['click'],1
193.120.211.219,"['http://www.basetel.com/wealthnow', 'http://www.basetel.com/remove.html']",['click'],1
216.136.171.252,"['http://thinkgeek.com/sf_______________________________________________webmake-talk', 'https://lists.sourceforge.net/lists/listinfo/webmake-talk']",[],1
200.171.13.198,"['http-equiv=""Content-Language""', 'http-equiv=""Content-Type""', 'http://168.75.161.77/systemworks46.htm"">', 'http://168.75.161.51/remove-me.asp""><font']",['click'],1
65.217.159.66,"['http://www.insiq.com/resdir/special/nbc/>', 'http://www.InsuranceIQ.com/optout', 'http://www.InsuranceIQ.com/optout>', 'http://www.insuranceiq.com/legal.htm>']",['click'],1
193.120.211.219,"['http://21377@www.top-lenders.com/app', 'http://21631@www.top-lenders.com/remove.html']",[],1
